what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1337907350461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337907351813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337907355231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337907360012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337907378164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337907383962
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1337907386222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907388239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907389317
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1337907393473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907393481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907401781
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1337907403170
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1337907403187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907404587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907408097
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1337907412250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907412258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907437673
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1337907439100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337907441190
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1337907441439
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1337907441465
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1337907441505
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1337907441521
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1337907441523
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1337907441708
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1337907441714
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1337907443471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337907444811
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337907445698
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1337907451180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337907453260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337907460746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337907464678
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1337907466464
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1337907466483
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1337907466508
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1337907468096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907469588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907470717
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1337907474930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907474939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907476260
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1337907478935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907490204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907494714
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1337907509491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907510879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907511987
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1337907516142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337907516150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908158682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908160232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908168389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908168522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908171106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908173973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908192356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908197723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908222103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908229581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908240161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908247655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908422084
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1337908423156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908426433
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1337908575857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337908575937
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1337908576813
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1337908581174
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1337908585493
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1337908590578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337908591383
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1337908591807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337908593329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337908596835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337908597820
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337908601776
closed,editor,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.editor",1337908604626
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1337908614063
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337908614303
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1337908617074
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337908617320
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1337908632042
